mixed_tastes,taste_groups,count_mixed_tastes
"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
"coffee,toast,cream,citrus","oak,non_oak,microbio,citrus_fruit",4
"coffee,toast,citrus,cream","oak,non_oak,citrus_fruit,microbio",4
"coffee,cream,toast,citrus","oak,microbio,non_oak,citrus_fruit",4
"coffee,cream,toast,citrus","oak,microbio,non_oak,citrus_fruit",4
"citrus,toast,cream,green apple","citrus_fruit,non_oak,microbio,tree_fruit",4
"citrus,green apple,cream,toast","citrus_fruit,tree_fruit,microbio,non_oak",4
"citrus,coffee,toast,cream","citrus_fruit,oak,non_oak,microbio",4
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"toast,cream,citrus","non_oak,microbio,citrus_fruit",3
"green apple,cream,citrus","tree_fruit,microbio,citrus_fruit",3
"green apple,citrus,cream","tree_fruit,citrus_fruit,microbio",3
"green apple,citrus,cream","tree_fruit,citrus_fruit,microbio",3
"green apple,citrus,cream","tree_fruit,citrus_fruit,microbio",3
"green apple,citrus,cream","tree_fruit,citrus_fruit,microbio",3
"cream,toast,citrus","microbio,non_oak,citrus_fruit",3
"cream,green apple,citrus","microbio,tree_fruit,citrus_fruit",3
"cream,citrus,toast","microbio,citrus_fruit,non_oak",3
"cream,citrus,toast","microbio,citrus_fruit,non_oak",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,toast,cream","oak,non_oak,microbio",3
"coffee,cream,toast","oak,microbio,non_oak",3
"coffee,cream,toast","oak,microbio,non_oak",3
"coffee,cream,toast","oak,microbio,non_oak",3
"citrus,toast,cream","citrus_fruit,non_oak,microbio",3
"citrus,toast,cream","citrus_fruit,non_oak,microbio",3
"citrus,green apple,cream","citrus_fruit,tree_fruit,microbio",3
"citrus,green apple,cream","citrus_fruit,tree_fruit,microbio",3
"citrus,green apple,cream","citrus_fruit,tree_fruit,microbio",3
"citrus,green apple,cream","citrus_fruit,tree_fruit,microbio",3
"citrus,cream,toast","citrus_fruit,microbio,non_oak",3
"citrus,cream,toast","citrus_fruit,microbio,non_oak",3
"citrus,cream,green apple","citrus_fruit,microbio,tree_fruit",3
"citrus,cream,green apple","citrus_fruit,microbio,tree_fruit",3
"toast,citrus","non_oak,citrus_fruit",2
"green apple,citrus","tree_fruit,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"cream,citrus","microbio,citrus_fruit",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,toast","oak,non_oak",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"coffee,cream","oak,microbio",2
"citrus,green apple","citrus_fruit,tree_fruit",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
"citrus,cream","citrus_fruit,microbio",2
